scorer,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc,dlc
individuals,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3
bodyparts,snout,snout,leftear,leftear,rightear,rightear,shoulder,shoulder,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tailbase,tailbase,tail1,tail1,tail2,tail2,tailend,tailend,snout,snout,leftear,leftear,rightear,rightear,shoulder,shoulder,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tailbase,tailbase,tail1,tail1,tail2,tail2,tailend,tailend,snout,snout,leftear,leftear,rightear,rightear,shoulder,shoulder,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tailbase,tailbase,tail1,tail1,tail2,tail2,tailend,tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
/img0038.png,577.0738982187231,251.0082247294906,575.3425399593766,273.5158821009952,596.5516786363714,272.65020297132196,586.1635290802924,281.7398338328911,586.1635290802924,297.3220581670098,585.2978499506191,313.337122065965,578.8052564780696,328.4865068352469,572.7455025703568,339.7403355209993,565.8200695329708,357.0539181144644,553.7005617175453,389.08404591237485,526.8645086976744,416.785778061919,506.95388871518946,428.9052858773446,60.134776004905916,388.7925959209739,79.03918453147188,372.3756095689561,61.12974487472516,359.93849869621533,79.03918453147188,350.983778867842,86.99893549002596,335.0642769507338,96.94862418821859,320.6372283383545,106.89831288641119,306.2101797259752,114.36057941005566,294.7680377230537,122.81781480351935,279.8435046757648,142.71719219990462,245.01959423209064,153.16436533300686,206.21580830913945,162.61656959628982,177.8591955192905,26.79345771262802,449.4648560359667,39.25164843430564,447.803763939743,23.748122202884595,435.8992705834733,37.8674050207859,427.3169614196509,40.63589184782537,411.8134351882299,45.34231945379248,398.52469841844044,49.77189837705563,387.1739024275786,,,,,,,127.01268085145685,332.08101456949316,162.72616092026604,331.8041658867892
/img0303.png,608.6823002384388,64.52077380905499,599.5926693768697,72.7840745922997,613.6402807083857,86.00535584549127,599.1795043377074,84.35269568884232,592.5688637111116,97.16081190287161,584.7187279670292,109.96892811690094,578.5212523795956,122.363879291768,571.0842816746754,136.82465566244625,562.8209808914306,154.17758730726015,559.5156605781327,185.9912953227523,553.7313500298615,212.84702286829764,539.6837386983455,238.8764203355185,132.2941895729242,272.90954132617566,113.89710274410506,297.90181022570357,138.54225679780615,303.1085329131052,122.92208873560124,310.74505952129425,120.4922848148138,323.588308816885,118.75671058567993,338.86136203326316,118.75671058567993,354.1344152496413,120.4922848148138,368.7132387743659,125.00477781056189,389.5401295239725,138.54225679780615,423.55738441499653,166.31144446394825,436.4006337105873,198.5931251258384,437.4419782480676,20.485824807274362,64.86354620600079,30.424270919367324,77.4327574654125,43.87040389455192,62.232781058682065,44.45501837173385,74.50968507950279,54.10115724523585,78.3096791811854,69.30113365196624,85.0327456687777,83.33188110433278,94.09427006509776,98.23955027247223,106.37117408591845,114.9010628721575,116.01731295942045,139.16256367520796,127.41729526446827,164.88560067121327,155.47879016920132,177.74711916921592,185.29412850548022
/img0502.png,391.6471699771854,235.93936498314736,411.53389946420856,212.30042238536515,384.51796506674316,206.67210271922653,401.0277027540831,199.5428978087843,404.7799158648422,182.28271749929252,410.0330142199049,165.77297981195258,414.9108912638917,153.39067654644762,419.4135469968026,143.2597011473981,423.9162027297135,132.75350443727268,436.6737273062944,106.11279135088321,460.3126699040766,86.97650448601192,485.0772764350865,80.22252088664555,579.3482383387422,425.0443259432841,570.0877676135793,415.45312412079403,566.4497255429796,436.6199143497376,559.8351035964348,423.39067045664785,543.9600109247272,424.0521326513024,527.4234560583649,422.39847716466613,507.5795902187303,418.09897289941193,487.7357243790957,411.4843509528671,469.8762451234245,405.5311912009767,436.80313539070016,395.2785271838321,402.4071012686668,381.7185521934151,376.6100756771418,365.8434595217075,8.067730732207124,49.603955986477075,18.270377617641927,74.95598764119384,32.801420151443,60.115773989652325,39.29401362399241,73.4101320524916,55.06174062875529,75.88350099441519,69.59278316255637,81.44858111374327,84.43299681409789,89.17785905725447,101.12823717208212,99.68967706042972,116.58679305910454,109.58315282812407,141.9388247138213,125.6600509506274,166.05417189757628,147.9203714279397,188.62366349262902,178.21914096650363
/img0707.png,257.3440332490244,293.13160905008624,263.3644381053884,325.8138068417765,284.579198075433,312.33956740134283,279.70553700123355,326.9605506239411,288.592801313009,342.4415916831628,296.9066937337021,355.91583112359655,303.7871564266896,370.2501284006537,310.0942472285947,382.5776240589229,316.688023976041,396.0518634993566,344.49656069353193,413.82639212290746,383.7725352326685,419.84679697927146,409.86095627691253,412.3929623952017,509.3550719613652,95.6376663380907,495.1177419894175,121.52372083254096,518.4151910344228,123.68089204041183,505.04072954562344,135.32961656291445,509.3550719613652,149.5669465348621,515.3951513434035,163.80427650680974,521.0037964838677,175.45300102931236,526.612441624332,187.101725551815,533.946823731093,202.20192400691099,547.3212852198923,227.6565442597871,565.4415233660075,253.54259875423736,579.2474190963809,288.4887723217453,233.60329887137266,312.6638597973873,219.221220603392,287.2837216774214,203.14713312741355,302.93480685140037,202.72413082541414,287.2837216774214,192.99507787942719,274.59365261743847,179.03600191344594,257.6735605374612,169.72995126945847,239.06145924948618,165.9229305514636,227.64039709550153,161.69290753146925,214.95032803551857,149.0028384714863,187.4551784055555,148.15683386748742,146.4239551116106,157.03988220947554,118.50580317964813
/img1138.png,280.5087701635501,316.5274748962508,286.18023465904184,290.0606405839558,260.1860223880378,299.9857034510664,270.58370729643946,283.44393200588206,265.85748688352965,266.90216056069767,258.2955342228739,251.30563319809525,246.95260523189035,237.1269719593658,237.5001644060707,224.83879888580023,229.938211745415,214.44111397739863,209.61546396990275,187.97427966510364,185.51173986406266,162.4526894353906,157.15441738660374,144.96567390762425,268.22059708998455,211.60538172965275,295.1600534435705,219.16733439030847,293.74218731969756,196.4814764083413,310.7565808061729,207.8244053993249,325.88048612748435,213.02324785352567,338.64128124234094,220.5852005141814,351.87469839848836,230.51026338129202,361.79976126559905,238.07221604194774,374.0879343391646,248.94252299164035,405.28098906436935,272.5736250561895,438.36453195473814,294.7868609968656,462.46825606057826,310.85601040075903,608.5276612772846,66.80654614867333,597.605488881472,71.32606576073371,612.6705542550066,84.13137132823812,596.4756089784569,83.00149142522301,591.2028360977198,95.80679699272741,586.6833164856594,107.48222265721671,580.2806637019072,122.1706613964129,574.6312641868317,137.98898003862422,566.3454782313877,156.0670584868657,549.0206530518229,185.44393596525813,531.3192012379199,209.17141392857508,507.2150966402645,233.2755185262304
/img1331.png,608.5274787976398,367.97728503505004,601.0230525761217,362.4740391392701,600.5227574946871,386.4882030481282,591.0171509474308,369.47817027935366,575.0077083415254,370.4787604422228,556.9970854098818,373.48053093083,538.4861673968037,377.48289158230637,524.978200198071,383.98672764095545,510.9699379179038,390.99085878103904,491.4584297419566,413.5041374455935,481.9528231947002,448.5247931460116,500.9640362892129,468.03630132195883,468.44485599596754,401.99735057259903,486.4554789276111,383.98672764095545,466.9439707516639,379.48407190804454,479.95164286896204,368.47758011648455,486.4554789276111,352.46813751057914,492.9593149862602,337.45928506754285,498.4625608820402,321.950137543072,502.46492153351653,307.4415801814702,507.9681674292965,290.93184249413025,526.9793805238091,256.4114818751467,544.9900034554528,229.39554747768136,566.0023968757037,205.8816786502578,469.5741077248026,167.61441066289956,495.59689902288403,165.42301771148217,484.09208602794274,148.1657982190703,500.52753316357314,150.90503940834202,511.75842203958723,142.96123995945402,525.1807038670187,132.82604755914863,536.4115927430328,122.41693103991607,544.6293163108479,113.1035109963922,556.4080534247164,103.24224271501399,589.2789476959771,93.10705031470859,616.3974354697672,100.22907740681508,634.2025032000334,113.92528335317371
/img1501.png,442.834413410453,200.11096701580038,472.12863344437835,207.3620115786532,466.9078813591243,182.70846006495367,482.5701376148864,189.95950462780647,494.7518924804791,186.47900323763713,511.57431586629764,184.44871076003832,529.8469481646868,182.99850184746776,542.3187448127936,181.8383347174113,553.3403325483299,178.6478751097561,589.885597145108,180.09808402232665,614.2491068762936,212.2927218813931,615.699315788864,240.42677478526204,411.9476091233883,280.8793374042242,429.8509076411659,303.0143246625674,439.9418577148224,283.8089680707696,443.5225174183779,297.8060923664866,457.1941271955899,311.15218762519356,467.61059178775145,321.89416673586015,480.6311725279533,334.914747476062,494.6282968236703,346.9587846607488,511.22953726742776,361.6069379934759,544.1065036364375,385.3694978443444,583.8192748940533,394.80941888099073,606.2797766709016,381.13780910377875,375.6333085539629,75.96506323720831,390.7363475599856,93.47085844873456,406.1826374525087,75.27856146420729,408.92864454451285,92.441105789233,424.7181853235365,101.02237795174588,440.16447521605966,107.88739568175617,456.9837686545849,116.12541695776852,475.5193165256127,124.02018734728036,490.2791046451348,129.8554524177891,527.6934512736909,138.09347369380146,560.9887872642407,141.52598255880662,594.9706250277918,143.5854878778097
